,Date,User Account,Scores,Review,Label,Aspect
0,21/05/2021,AHA! KLASTULISTIWA,1,slow untracked customer service slow response better buy online motorcycle bead area first last time,0,SERVICE
1,20/05/2021,urip sugiarti,5,good essentially first order chili fresh,1,SERVICE
2,20/05/2021,amirah makarim,5,good quality good price,1,SERVICE
3,18/05/2021,Aldy Arsyad,5,cool shopping anytime anywhere product fresh thanks tanihub,1,USEFULLNESS
4,16/05/2021,Iin Rosita,5,recomended,1,USEFULLNESS
5,16/05/2021,Hermayanti,5,good good,1,USEFULLNESS
6,15/05/2021,Maria Dora Rosa,5,satisfied buy fruit good quality delivery also fast,1,SERVICE
7,11/5/2021,Afdhal Kurnia Surakhman,4,spending time conclusions recomended shopping fruits sea fish edit given finally contacted farmer hub settlement problems though new view tanihub serious farmer keep image nice perfect keeping steady professionalism,1,SERVICE
8,10/5/2021,SMART Pusdiklat,5,lightweight application navigation clear easy understand,1,SYSTEM
9,10/5/2021,Jenny Setiawan,5,best quality,1,SERVICE
10,9/5/2021,RIK RIK MOKHAMAD RIZKI,5,far good,1,USEFULLNESS
11,8/5/2021,Eklesia Hosana,5,great applications,1,SYSTEM
12,7/5/2021,sanggard,5,good,1,USEFULLNESS
13,7/5/2021,Wirjono Hadiprodjo,4,service satisfying,1,SERVICE
14,5/5/2021,Hafidhu Nalendra,5,hopefully continue shopping cheap welfare indonesian farmers,1,USEFULLNESS
15,5/5/2021,Irma Hutagalung,5,application continue updated product variants complete shipping getting fast,1,SERVICE
16,5/5/2021,Hendra Gunawan Saputra,5,easy process,1,SYSTEM
17,3/5/2021,CeritaNaSh,5,fast response fast delivery good price,1,SERVICE
18,3/5/2021,Yuliani Budianto,5,satisfied quality fruits vegetables,1,SERVICE
19,3/5/2021,Marla Tarigan,5,good,1,USEFULLNESS
20,2/5/2021,Jessica Novella,1,force closed,0,SYSTEM
21,1/5/2021,Agus Eryanta,5,spending practical complete kitchen,1,USEFULLNESS
22,30/04/2021,Eky Edel,5,many advantages tanihub impressed quality products offered cleanliness well packaging delivery everything cool tanihub facilitate daily shopping need pandemic like let alone future indeed issues goods forget sent consumables items forgot mark saved cooperation solutions maintain increase tanihub good,1,USEFULLNESS
23,30/04/2021,Dila Preti,5,good choices,1,USEFULLNESS
24,30/04/2021,Jesica Sunarto,5,recommended,1,USEFULLNESS
25,29/04/2021,Iman Adsya,5,satisfied quality products shopping experience order recomended,1,SERVICE
26,27/04/2021,Ridwan Zanuar,5,nice application easy use look forward get cash delivery payment feature thanks tanihub,1,SYSTEM
27,27/04/2021,Evi Maryani,5,easy use,1,SYSTEM
28,27/04/2021,intan kurnia lestari,5,thanks tanihub always ontime delivery today till tomorrow messages flash sale fresh fruit vegetable yes,1,SERVICE
29,26/04/2021,Adi Wibowo Yudo Pranoto,5,complaint responses fast means well tanihub professional substitute fresh fruit also record customer service blame messenger one,1,SERVICE
30,25/04/2021,Rizka Nidy,5,user friendly,1,SYSTEM
31,24/04/2021,Irwan,5,simple use,1,SYSTEM
32,24/04/2021,She Shield,5,friendly service good quality goods competitive prices,1,SERVICE
33,22/04/2021,Ratih Sari Dewi,5,good,1,USEFULLNESS
34,22/04/2021,galih nugraha,5,satisfied steady,1,SERVICE
35,20/04/2021,Novita Dewi Cahyani,5,nice good,1,USEFULLNESS
36,20/04/2021,William Indrajaya,5,good response lack balance order chicken order deficiency replaced,1,SERVICE
37,4/20/2021,Indra Kurniawan,2,far good several times buy always order delivered reason available goods yes goods available display window addition claim refund beat around bush costumer service less responsive consumers informed reply template whatsapp email communications hopefully input future improvements,0,SERVICE
38,19/04/2021,ina chan,5,fast delivery quality fruit good,1,SERVICE
39,19/04/2021,Bli KETO,5,life gets easier,1,USEFULLNESS
40,19/04/2021,Stevani A,4,glad disposable tani application hub forget enter code stevarfy let interchangeable discount,1,SYSTEM
41,18/04/2021,Drajatwib,5,thank tanihub downloaded registration first transaction managed get products farmers ordered takes time order delivery expect buy products online quickly ushered applicationlication different indeed least wait hours product delivered great packaging actually thought tasted receive packaging expensive products,1,SERVICE
42,18/04/2021,Ary Goenadhi,4,overall good application need provide goods delivery tracking,1,SYSTEM
43,17/04/2021,Lilik Suratno,5,fast delivery overall product ok,1,SERVICE
44,17/04/2021,Ichsan Noordiansyah,5,rebdang buy buffalo meat cheap price ontime delivery recommended applications products pricing service go ahead continue improve tanihub,1,SYSTEM
45,17/04/2021,Mia Setiadi,1,really really disappointed make one order get two deliveries exact goods okay willing pay second deliveries since make payment till reach customers service wa email anymore one time hour tf said wait hours transfer still response keep sending emails chat whatsapplication response,0,SERVICE
46,16/04/2021,Susi Maria,4,already successfully bertansaksi tanihub several times delivery fast packaging okay quality,1,SERVICE
47,15/04/2021,user account,5,tried two times shopping groceries using application happy quality products ref code tanifund greesl,1,SERVICE
48,14/04/2021,rahayu ningsih,5,prices ok baby goods quickly empty,1,SERVICE
49,13/04/2021,Dea Maharani,4,good,1,USEFULLNESS
50,12/4/2021,Maria Henmar,5,insert code supermarket buy super cheap prices free postal twenty thousand,1,SERVICE
51,11/4/2021,Eva Muzdalifah,5,good service product,1,SERVICE
52,11/4/2021,I Made Aditya Yoga,5,good,1,USEFULLNESS
53,11/4/2021,ichsan nurs,1,finally give helping farmers,1,USEFULLNESS
54,9/4/2021,Ayam Ungkep Suvarna,5,revision review tanihub improve delivery good application detect shipping,1,SYSTEM
55,4/9/2021,Wenny Panenthe,2,order watermelon watermelon raw color pink order avocado sent bonus,0,SERVICE
56,8/4/2021,Isnainnur Iman,3,first time ordered using application experience good sure fall behind reviews competitors shipping two days one day longer competitors choose delivery time either support working hours shorter minimum transaction amt free shipping also higher ordered two kg shallots dirty layer removed half started rot guess stick application,0,SERVICE
57,8/4/2021,Irene Chandra,1,disappointed one order came separately two days arrived long nine pm incomplete orders exist delivered annulled available available sale applied stocks exhausted seen stocks exhausted reserved two times like fickle delivery method messages come wear onions peeled skin severe,0,SERVICE
58,7/4/2021,Jean Silva,5,fruit vegies fresh packaging good,1,SERVICE
59,4/6/2021,Anonim Mous,2,nice application farmer hub direct link farmers ranchers buyers price affordable farmers ranchers need fear war middlemen reality cheaper buy market difference application middlemen correct im wrong,1,SERVICE
60,3/4/2021,Gwen Gerrard Lin,5,thank tanihub free delivery fast nice price,1,SERVICE
61,2/4/2021,Meliawati 82,4,first order two items missing orders second full third quality frozen durian feeling consumed,0,SERVICE
62,31/03/2021,Tokodaging_ Ku,5,good,1,USEFULLNESS
63,30/03/2021,jacqueline thenu,5,helpful excellent quality competitive price often cheaper market,1,SERVICE
64,26/03/2021,Gabrielle Goh,5,love application,1,SYSTEM
65,25/03/2021,Julia Ermyanti,5,fast delivery fresh goods packing tidy,1,SERVICE
66,24/03/2021,Endang Werang,5,products good fresh clean variaty choices pick cheaper market price,1,SERVICE
67,24/03/2021,Tinnawati T,3,like buy tanihub price fairly affordable good product quality wait lot orders minimum order two hundred thousand rupiah one hundred fifty thousand least twice shop sayur box time almost every day free shipping fifty thousand fruit still fresh hopefully tanihub participate cheaper price fifty thousand rupiah shop frequent,1,SERVICE
68,3/24/2021,R M,2,fruits fresh bother choose grade b fruits since send grade b fruits even paid grade choose delivery time delivery come late night,0,SERVICE
69,23/03/2021,Febriani Ambarsari,5,good service,1,SERVICE
70,22/03/2021,moel jackson,5,satisfying quality goods fast delivery,1,SERVICE
71,22/03/2021,Akbar,4,recent order goods full continue little,0,SERVICE
72,20/03/2021,Toko Sembako Hartatik,5,good application user,1,SYSTEM
73,20/03/2021,Yanti Octavia,5,best,1,USEFULLNESS
74,20/03/2021,Yoice Stefano,5,good,1,USEFULLNESS
75,17/03/2021,Heni Kembaren,5,application simple quality goods sold also nice,1,SYSTEM
76,15/03/2021,Gunawan Har,5,great quality shipping,1,SERVICE
77,15/03/2021,Pradita C. S.,5,shopping vegetable fruit et cetera easy really simple application morbidly difficult use,1,SYSTEM
78,11/3/2021,Risman Mohammad Rizal,5,far always get best service tanihub prices reasonable satisfactory product quality fast delivery complaint handling good questions suggestions forward improved inventory management supply minimize unwillingness product application,1,SERVICE
79,11/3/2021,Arnold Lim,5,one application shopping needs cheap kitchen quality equivalent supermarket top substantially,1,USEFULLNESS
80,10/3/2021,Willy Bernardus,5,solution everyday shopping needs suitable vegan vegetarian certainly regret good job tanihub,1,USEFULLNESS
81,10/3/2021,Muhammad Raga Naufal,5,good,1,USEFULLNESS
82,9/3/2021,Natasha T,5,effort team handling customer complaint good hope service could always time,1,SERVICE
83,8/3/2021,Pungkaskurniasari Hermansyah,5,first time shopping tani hub vegetables fruits fish eggs still fresh also constraints due upon delivery eggs finally immediately complained fast response next day eggs sent directly home address success continued well tanihub hopefully price compete others,1,SERVICE
84,8/3/2021,greece syah,5,service satisfying handling complaints jg taken satisfying success always tanihub,1,SERVICE
85,7/3/2021,ratna saanin,5,fresh fruit good quality fast delivery packing neatly,1,SERVICE
86,6/3/2021,yumas daleni,4,bit slow,0,SYSTEM
87,3/2/2021,Wicaksono J,2,user friendly flexibilities transactions available yet,0,SYSTEM
88,1/3/2021,tien tienna,5,satisfying shopping tanihub,1,SERVICE
89,26/02/2021,Prati Hutari Gani,5,good application,1,SYSTEM
90,25/02/2021,robby christy,5,recommend products,1,USEFULLNESS
91,22/02/2021,Guntur Martinus,5,fast delivery fast response complaining immediately sent replacement item good complete stock good,1,SERVICE
92,22/02/2021,Susi Fadilah,5,helpfull,1,USEFULLNESS
93,20/02/2021,Albert Subekti,5,okay really price fast shipping,1,SERVICE
94,19/02/2021,friska oktaviana,5,help mothers hard time shopping market vegetable sellers pandemic period vegetable sellers rarely use referral code able voucher two thousand rupiah,1,USEFULLNESS
95,19/02/2021,Rika Poniawati,5,love,1,USEFULLNESS
